,nest,year,species,field.hab,nest.veg,lat,long,visit,initiation,robel.found,robel.found.date,robel.fate,robel.fate.date,FirstFound,LastPresent,LastChecked,Fate,Freq
1,A1,2016,MALL,grass,low.shrub,48.36158,-101.98888,t,112,7,123,10.5,155,123,145,145,0,1
2,A100,2016,BWTE,grass,grass,48.37838,-101.96216,t,144,11.5,150,11.5,157,150,150,157,1,1
3,A101,2016,BWTE,grass,grass,48.37664,-101.96242,t,135,8.5,150,6.5,162,150,161,161,0,1
4,A102,2016,BWTE,grass,grass,48.37665,-101.96238,t,132,9.5,150,13.5,170,150,164,164,0,1
5,A103,2016,MALL,grass,grass,48.37571,-101.96204,t,142,17.5,150,18,157,150,150,157,1,1
6,A104,2016,BWTE,grass,grass,48.37746,-101.96,t,135,11,150,8.5,170,150,168,168,0,1
7,A105,2016,MALL,grass,grass,48.37944,-101.95979,t,141,17.5,150,26,162,150,157,162,1,1
8,A106,2016,MALL,grass,grass,48.37314,-101.95263,t,143,11.5,150,11,157,150,150,157,1,1
9,A107,2016,MALL,grass,grass,48.37544,-101.9521,t,146,13.5,150,11,181,150,178,178,0,1
10,A108,2016,NSHO,grass,grass,48.37709,-101.95303,t,139,18,150,17,157,150,150,157,1,1
11,A109,2016,MALL,grass,grass,48.37833,-101.95435,t,145,13.5,150,15,157,150,150,157,1,1
12,A110,2016,MALL,grass,grass,48.37683,-101.95468,t,144,12,150,13.5,157,150,150,157,1,1
13,A111,2016,BWTE,grass,grass,48.37621,-101.95427,t,133,10,150,10,162,150,160,160,0,1
14,A112,2016,BWTE,grass,grass,48.37445,-101.95463,t,140,10.5,150,13,177,150,171,171,0,1
15,A113,2016,MALL,grass,grass,48.37546,-101.95513,t,141,14.5,150,16,157,150,150,157,1,1
16,A114,2016,MALL,grass,grass,48.37695,-101.95539,t,132,15,150,18.5,170,150,163,163,0,1
17,A115,2016,NOPI,grass,grass,48.37618,-101.95552,t,141,13.5,150,14.5,157,150,150,157,1,1
18,A116,2016,NOPI,grass,grass,48.37554,-101.95586,t,142,12.5,150,14.5,162,150,157,162,1,1
19,A117,2016,NSHO,grass,grass,48.37701,-101.95902,t,138,12.5,150,12.5,170,150,169,169,0,1
20,A118,2016,GADW,grass,grass,48.3222,-102.15524,t,136,18,150,17.5,162,150,156,162,1,1
21,A119,2016,NOPI,grass,grass,48.50283,-102.1597,t,142,17.5,151,21.5,167,151,159,167,1,1
22,A120,2016,BWTE,grass,grass,48.50274,-102.16258,t,142,13.5,154,13.5,183,154,177,177,0,1
23,A121,2016,MALL,grass,grass,48.50235,-102.16111,t,146,20.5,154,29,167,154,159,167,1,1
24,A122,2016,GADW,grass,grass,48.50158,-102.15919,t,145,16,154,21.5,183,154,180,180,0,1
25,A123,2016,GADW,grass,grass,48.5018,-102.16024,t,142,16.5,154,21.5,174,154,167,174,1,1
26,A124,2016,GADW,grass,grass,48.50161,-102.16163,t,148,19.5,154,23.5,174,154,167,174,1,1
27,A125,2016,BWTE,grass,grass,48.50079,-102.15832,t,142,10,154,12,176,154,174,176,1,1
28,A126,2016,BWTE,grass,grass,48.49989,-102.16122,t,145,15.5,154,21,177,154,174,177,1,1
29,A127,2016,BWTE,grass,grass,48.49866,-102.15851,t,146,13.5,154,16,167,154,159,167,1,1
30,A128,2016,GADW,grass,grass,48.49876,-102.16191,t,143,16,154,27.5,177,154,179,179,0,1
31,A129,2016,BWTE,grass,grass,48.49786,-102.16251,t,147,15,154,13.5,177,154,174,177,1,1
32,A13,2016,NOPI,grass,grass,48.1576,-102.10436,t,120,10.5,129,8,155,129,149,149,0,1
33,A130,2016,LESC,grass,grass,48.49636,-102.1589,t,138,17.5,154,19,167,154,159,167,1,1
34,A131,2016,NSHO,grass,grass,48.49678,-102.15877,t,143,15,154,17.5,177,154,173,173,0,1
35,A132,2016,BWTE,grass,low.shrub,48.49741,-102.15991,t,142,10,154,17,167,154,159,167,1,1
36,A133,2016,BWTE,grass,grass,48.49729,-102.15874,t,149,8,154,17.5,159,154,154,159,1,1
37,A134,2016,AGWT,grass,grass,48.49593,-102.16192,t,142,12.5,154,23.5,177,154,177,177,0,1
38,A136,2016,BWTE,grass,grass,48.36184,-101.99191,t,142,9.5,155,11.5,178,155,175,175,0,1
39,A137,2016,MALL,grass,forb,48.32779,-102.15181,t,146,19.5,156,24.5,189,156,182,182,0,1
40,A138,2016,MALL,grass,forb,48.32761,-102.15677,t,142,21.5,156,25,179,156,177,177,0,1
41,A139,2016,NSHO,grass,forb,48.32786,-102.15779,t,139,16.5,156,17.5,179,156,173,173,0,1
42,A14,2016,NOPI,grass,grass,48.16058,-102.10317,t,124,9.5,129,7,148,129,140,148,1,1
43,A140,2016,GADW,grass,forb,48.32793,-102.15647,t,146,16.5,156,18,189,156,180,180,0,1
44,A141,2016,MALL,grass,forb,48.32851,-102.15412,t,140,18.5,156,23,179,156,173,173,0,1
45,A142,2016,GADW,grass,forb,48.32846,-102.15484,t,145,11,156,22.5,179,156,171,179,1,1
46,A143,2016,NOPI,grass,forb,48.32879,-102.15612,t,143,14.5,156,15,171,156,170,170,0,1
47,A144,2016,GADW,grass,forb,48.32882,-102.15414,t,146,13.5,156,21,171,156,162,171,1,1
48,A145,2016,MALL,grass,forb,48.32914,-102.15307,t,144,17.5,156,24.5,179,156,173,173,0,1
49,A146,2016,NOPI,grass,forb,48.32919,-102.15247,t,135,13,156,18.5,162,156,156,162,1,1
50,A147,2016,AGWT,grass,forb,48.32993,-102.15544,t,151,14,156,21.5,179,156,171,179,1,1
51,A148,2016,GADW,grass,low.shrub,48.33045,-102.1567,t,145,19,156,19,171,156,162,171,1,1
52,A149,2016,MALL,grass,low.shrub,48.33046,-102.15666,t,141,25,156,26.5,171,156,162,171,1,1
53,A15,2016,NSHO,grass,grass,48.15505,-102.10188,t,127,10.5,129,7.5,140,129,134,140,1,1
54,A150,2016,NOPI,grass,grass,48.33026,-102.15682,t,146,27,156,19.5,162,156,156,162,1,1
55,A151,2016,BWTE,grass,forb,48.3307,-102.15639,t,145,16,156,25.5,179,156,171,179,1,1
56,A152,2016,GADW,grass,forb,48.3306,-102.15035,t,146,16,156,21,179,156,171,179,1,1
57,A153,2016,GADW,grass,forb,48.33073,-102.14999,t,147,15,156,20,179,156,171,179,1,1
58,A154,2016,BWTE,grass,grass,48.32267,-102.15404,t,140,22,156,24.5,171,156,168,168,0,1
59,A155,2016,GADW,grass,grass,48.32547,-102.15389,t,144,20,156,22,179,156,177,177,0,1
60,A156,2016,MALL,grass,grass,48.38356,-101.96251,t,146,25.5,157,18.5,162,157,157,162,1,1
61,A157,2016,NOPI,grass,grass,48.38361,-101.96234,t,137,24,157,15.5,162,157,157,162,1,1
62,A158,2016,MALL,grass,grass,48.38477,-101.96136,t,148,20,157,14,162,157,157,162,1,1
63,A159,2016,GADW,grass,grass,48.38489,-101.96134,t,147,19,157,16,170,157,162,170,1,1
64,A16,2016,NOPI,grass,grass,48.15866,-102.10227,t,121,2.5,129,4.5,140,129,134,140,1,1
65,A160,2016,GADW,grass,grass,48.38636,-101.96188,t,147,19,157,20.5,184,157,177,177,0,1
66,A161,2016,GADW,grass,grass,48.38487,-101.96091,t,150,21.5,157,19,184,157,183,183,0,1
67,A162,2016,GADW,grass,grass,48.38689,-101.96095,t,148,24.7,157,26.7,176,157,170,176,1,1
68,A164,2016,MALL,grass,grass,48.38301,-101.95903,t,145,15,157,13,162,157,157,162,1,1
69,A165,2016,MALL,grass,grass,48.38505,-101.95924,t,128,18,157,15,162,157,161,161,0,1
70,A166,2016,MALL,grass,grass,48.38548,-101.95909,t,150,19.5,157,18.5,168,157,157,168,1,1
71,A167,2016,GADW,grass,grass,48.38651,-101.95981,t,145,23.5,157,20.5,162,157,157,162,1,1
72,A168,2016,GADW,grass,grass,48.38686,-101.9597,t,151,22.5,157,15.5,162,157,157,162,1,1
73,A169,2016,GADW,grass,grass,48.38688,-101.95976,t,145,29.5,157,21.5,162,157,157,162,1,1
